"Predictor","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59"
"AtomicMassofX",0.0704362046608402,0.242333014627411,-0.142663361283778,0.00819614213851938,-0.108387603985947,-0.0108517682229112,0.0429765714951446,-0.0840887456831501,0.0461321436525277,-0.0293577275590568,0.0340730750919917,-0.00189742660297217,0.160444582937448,-0.265242684219841,0.0530953764122459,-0.0117757129051529,-0.254916818510131,0.280563531080969,-0.181545975583907,0.0971274327347653,0.208280346571042,-0.16926453766195,0.0810697689948459,0.0291727656162616,0.0580374090845635,-0.062171510544298,-0.0320412914478675,-0.025629845272688,-0.0631934593800972,0.0351786900637597,0.0110754361737302,0.0138458143776186,-0.0490161973047493,-0.0342656388785424,-0.00169508398349549,-0.00327090428164079,-0.00628480886338303,-0.00848586148130115,-0.00682433696018466,-0.00123550603022319,-0.00443538614467588,-0.0111926863502142,-0.00453983646701153,0.0935967543415824,0.279391964217223,0,0,0.648966458940447,0,0,0,0,0,0,0,0,0,0,0
"AtomicMassofXprime",0.0709933864875721,0.241911068482578,-0.142766825963439,0.00827402719179534,-0.108665142362441,-0.00966026135809321,0.0445305289475622,-0.0851279412010658,0.0462270490545782,-0.0292696914732943,0.0368409116715211,-0.00302747006179099,0.159597773009437,-0.26469750612734,0.0530075473826876,-0.0130710283014779,-0.253747533904536,0.278644912091934,-0.179849394027967,0.0981202312083146,0.214442194847504,-0.166108520106128,0.0834543874980639,0.0369078774212092,0.0630096846520704,-0.0656720143387222,-0.0348649552224611,-0.0354246647722614,-0.0685678097935744,0.0154300951978666,0.0160059062285102,-0.0339658023792151,-0.0139203895167915,-0.028758539067475,-0.00932291570341097,-0.00216915302204168,-0.00712154857624048,-0.00753802653415691,-0.0032396690254592,-0.0022458622967858,0.00162194219211961,-0.0114565535746795,-0.00365024901721909,0.0935131640672004,-0.290370818794829,0.0124364158404775,0.00443037159040739,-0.643564091832501,0.00690734654346453,0.00158893304907173,-0.00350708356016719,0.00368528782772385,-0.000503391366205304,-0.00369291351904604,-0.00496206125042665,-0.00700643138652733,-0.00052207149702821,-0.00319683513309009,-0.00161894927127641
"AtomicMassofB",-0.0674479021138072,0.10609145166311,-0.0312383426421678,0.0322236436058232,0.32705404855851,0.0669220722542351,0.0664390276468967,0.196747446787167,0.0524604863846625,-0.185859508664966,0.102006878327963,-0.0539546563365914,0.321746468781014,0.230416532348627,-0.110842239074051,0.064972505291403,-0.112565761443548,-0.140140155766459,-0.10829994113934,-0.198244504646459,-0.0952021407515637,-0.352455882711113,0.248677112383845,0.0561781489788614,-0.0116613216149925,0.0543648907814012,0.140783967411729,0.0539951552927108,0.14492701774188,-0.0104483657241542,0.228356441970347,-0.0441641798553273,-0.052225577788427,0.214684323843787,-0.020477293823598,0.0130808331038659,-0.0345009449821318,-0.14449981745101,-0.024875255893491,0.373658128509763,0.0897059228962016,0.0291752370601019,0.0240228944441871,-0.00524721618937322,2.63677968348475e-16,-9.49490052554181e-17,-4.02618476752492e-16,2.22044604925031e-16,3.03400425442912e-16,1.68312222883008e-16,-5.52875345331827e-17,7.90437593850557e-16,1.70788947220779e-16,-3.09695574306906e-16,1.35823427158122e-16,7.56773116394882e-17,1.66159912164034e-16,-1.54146443873127e-16,-1.38916791481494e-16
"AtomicMassofBprime",-0.0585143557080769,0.0699635393484647,0.138881688518576,0.115817206479993,0.198107161362199,0.273397712199724,0.12177933592462,-0.0296610515128564,-0.0629751659582918,0.0559781109590662,-0.301129537196806,0.155610742586793,0.046514339348528,0.075594686628106,-0.125774158928099,0.0709559410791801,-0.18183041689785,0.016415721504088,-0.084507888505868,0.056395736683111,-0.205168466709745,-0.0794970805565702,-0.0150722993676158,0.320857600794345,0.0811741706583763,-0.132087899969017,-0.260333582838841,-0.198730809145886,0.127515313826043,0.0749303446169637,-0.408163402357037,-0.00725739719145909,0.0321193756956991,0.106846231923956,0.0204793159591735,0.00163600301761332,0.106769781058993,0.307793774184719,-0.109708941409476,0.000263278994841243,-0.161418240657001,-0.0405562523861443,-0.0627167854463462,-0.0283108994609378,8.32667268468867e-17,6.92144502519379e-16,4.29006941191253e-16,-1.11022302462516e-16,3.15058986928921e-16,-7.8580940582676e-17,5.27879403058353e-17,-6.28227396319569e-17,-1.14241557057674e-16,-2.91379333855479e-17,2.62233777173406e-16,3.03996736637779e-16,-2.20492311170069e-16,1.07968748687664e-16,-1.35127166075479e-16
"AtomicMassofA",-0.0360090953826819,0.143346367655028,0.202448120615131,-0.262189551318323,-0.000153908493909616,-0.0338953140449415,-0.00338083602982014,-0.0341295417744049,-0.113292109383229,-0.0827514478404338,-0.0462222263706035,0.0716515301003979,0.168793331397126,0.0814804226597985,0.0830837833832923,0.0238574687402682,0.0931078646371529,0.139129369715824,-0.155460420278634,-0.120111118829343,-0.103337803859048,0.084995276196326,-0.154301576975751,-0.162494535687557,0.0514476477944136,-0.127660826313031,0.0910321207191537,0.0441962971303657,-0.162361893881924,0.0459590140581115,-0.0570890470661096,-0.015066309302668,0.0708271435234855,0.136218128105498,0.0749070662931258,-0.413922027494572,-0.0325203654127941,0.0573532129364448,0.0850603897669541,0.0436268660168578,-0.0342543922613023,-0.110200362507187,0.272702761725588,0.0181954468722294,0.067042369680843,0.0835315719839466,-0.0180038078424412,-0.0288629698697977,0.0724118121209929,-0.0349703665193954,-0.185526157373305,0.123705401272739,-0.247893974255057,-0.0173541862078835,0.105702032147866,0.223445429498564,-0.321707550556933,-0.00625400963515635,-0.058671250200221
"AtomicMassofAprime",-0.0358679224195439,0.14367822785548,0.199412049518085,-0.264115904172164,0.00095276541616629,-0.0351429157715591,-0.00361647068161031,-0.0298218572979321,-0.113997169143502,-0.0801040712509204,-0.0395052617021415,0.0694456413859662,0.171395823704805,0.084583473588887,0.0848044059929487,0.0185603633426543,0.0933889600688543,0.134779181008343,-0.164972438740818,-0.121723943009058,-0.0963785632992023,0.095140680940158,-0.154571060473458,-0.162506216742114,0.0455074944681373,-0.131610144111107,0.100316932685927,0.0501014323238623,-0.184621935364563,0.0252909188505801,-0.08418126720872,-0.000258342326653188,0.043044394712479,0.159997078862403,0.0853365235799398,0.213674513734977,-0.311546263642333,0.114706024951904,0.093930611476065,0.0240012341179258,0.0871690075305271,-0.0289748222676145,-0.283099201486413,0.0106383969992925,-0.0668011429657189,-0.0832310150851569,0.0179390279212327,0.0287591173442449,-0.072151265489703,0.0348445388274107,0.184858611376264,-0.123260293981125,0.247002021160424,0.0172917437054404,-0.105321703198901,-0.22264144528345,0.320550007110593,0.00623150693711886,0.0584601438054841
"ARENofX",0.0527632277903802,-0.28629493039888,0.0693538688205504,-0.0695587820440109,0.129073380790406,-0.0672104690671671,-0.0222928729372029,0.0296271519720992,0.00197773447186805,-0.0312818627052436,-0.0349848324619444,0.0320230513093591,0.0478741495450781,-0.0910324927418001,0.0127084139450648,-0.0101899912484161,-0.0714191546147689,0.117321745965832,-0.0865639578194926,0.0220102356617846,0.0466794335468253,-0.0906492873782344,0.0248259966208347,-0.0174902703498794,0.019622361046714,-0.0530297563937781,0.010152931043936,0.0349230722182032,-0.0500500563414238,0.121558503972496,-0.0160292492034115,0.178768342420227,-0.247958651418817,-0.0819315530032,0.0414451009222686,-0.0266294667959102,-0.040542026106857,-0.00452941365384715,0.0169586957607128,-0.017790690034733,-0.0181383798753394,0.102932077898615,0.0214148528838871,-0.539279717133663,0.444218261554379,0.166524329896123,0.140631745992909,-0.209075235630203,0.218557122126538,0.0464160625123249,-0.0109321943068481,-0.138116546670181,0.0609293092252018,0.0800697953171856,-0.0288343203738458,-0.110402016541893,-0.015639779902275,0.0893501324806393,0.11252353808175
"ARENofXprime",0.0572807919201688,-0.288062731698701,0.0681087161180937,-0.0680713343028566,0.12537156342981,-0.0549772191879387,-0.00726691189400808,0.0196160419354575,0.00270132030073424,-0.0299840603576675,-0.00811998849355344,0.0208153542990797,0.0386268594859517,-0.0838286565772102,0.0115320374343099,-0.0224840200428899,-0.0584710935964618,0.0965720757564534,-0.0686458788978766,0.0309578015961471,0.104632092248988,-0.0587039382057656,0.0471771338882873,0.0569390360673755,0.0669839576399582,-0.0858622465427003,-0.01698145064865,-0.0595073102626392,-0.10092114939891,-0.0697136437248552,0.0314941425006285,-0.282770029293093,0.0922607304510581,-0.0279742729552241,-0.0323170957838669,-0.0157345994744796,-0.0481132219861778,0.00466084960190431,0.0512479142012529,-0.0273001110977183,0.0402944956902263,0.0992992762311855,0.0297444023494529,-0.534463086822006,-0.357465935950931,-0.271291768286158,-0.178862662901434,0.16872642017983,-0.27815472487726,-0.0600824897984538,0.0400742333533797,0.109165083807118,-0.0574446145024604,-0.0504067410196534,0.0702157980116131,0.169611216061845,0.0201344671071101,-0.0638956344208598,-0.100384391420716
"ARENofB",-0.135600488419924,0.087961949667256,0.0233740549604966,0.107157615783013,0.159463164647656,-0.2299989449498,-0.133495506406832,-0.110086614071004,0.0157289444684681,-0.177886609684218,-0.0103157399924929,-0.207771261318138,-0.128654450360419,0.00250925699495577,0.21735291526388,-0.17077432258381,-0.15974050584123,0.149438367122167,0.160373897656644,0.232771618384995,-0.226109974426103,0.198603775905562,0.0166570999989505,-0.00409057090539305,0.0566270021173396,0.012626708827916,0.0236392205156393,-0.203937253730405,-0.010333336028612,-0.214319432870546,-0.249948303256057,-0.116820454014213,-0.360779251182451,0.25631195881191,-0.120122896023554,-0.0324246965967574,-0.0471425940288937,-0.226849677686467,0.0331252689592845,0.147821753381455,0.0832113688344802,0.0584608672849299,0.0244125077943332,0.0157678903741733,1.31145094783847e-15,-2.56739074444567e-16,-1.05818132034585e-16,3.33066907387547e-16,1.38777878078145e-16,7.41594285980085e-17,-2.0122792321331e-16,7.63278329429795e-17,2.74086309204336e-16,4.61870125478825e-16,2.60208521396521e-16,-3.92047505570758e-16,3.72965547335014e-16,-1.58727198051878e-16,-2.94902990916057e-17
"ARENofBprime",-0.0188773442356373,0.0292665141963002,-0.0785346800313664,-0.00356887880199608,0.204029626101795,-0.00341779490239222,-0.271534914528275,-0.198091793813787,-0.288245008881514,0.335598206244161,0.298505757719056,0.00394318667122963,0.0196426019320574,-0.0854386835619903,0.100277512404913,0.214691013629533,-0.188407768176676,0.0356165189619506,0.109805434368588,0.156739525924014,-0.339777606827697,-0.166491039809651,-0.166758375926381,-0.0328295362335564,-0.14577649904245,0.0188859449467814,0.0342797268449342,0.274093125453721,0.0104082010125616,0.201599747605806,0.131551281447038,-0.232658885792308,-0.0397847924822865,-0.0101218657928661,-0.0673006227924388,0.00769930708817369,0.0159179618236722,0.14846727586743,-0.0340403080532802,-0.0470069748681287,-0.0394585424695108,-0.00781869330992246,-0.0149436613557491,-0.00293885407606815,2.77555756156289e-16,1.66425033476525e-16,4.05301877129394e-16,-1.38777878078145e-17,-2.60262731505145e-16,2.5562776721777e-16,2.93601948309075e-16,-1.93313247354165e-16,-2.16840434497101e-16,-5.95226992694542e-17,1.9971004017183e-16,1.17527515497429e-16,-1.97107954957865e-16,4.04678460880215e-17,-4.67833237427495e-17
"ARENofA",-0.207608826158408,-0.0236791490035326,-0.111493024179235,-0.183637142912309,0.0166872569361371,-0.0415110625026257,0.139130689753442,-0.0470430218373096,-0.0570952171092743,0.00513824328958179,0.0245292084064238,0.0187353942269064,-0.0622933706854238,-0.0964596445596595,-0.0603133901703913,0.00431777710690413,-0.065473019825129,-0.102746804990276,0.0923974380621852,-0.059635663080772,0.0137065926519064,0.0175121194525818,0.0714185085667341,0.179904211537702,0.0833039769811307,0.266575682060711,-0.0428674620916545,-0.0817230374425305,-0.190781289519981,0.148293872477499,0.0119012524714309,0.0755724507891242,0.00748278172135096,0.0210268966220741,-0.242044167817561,-0.0505595031847181,-0.225883708506081,0.100898826067872,0.167001954159868,0.0330576688829016,-0.00542640792067663,-0.0173383457708349,0.00243337572085399,0.0165239464891434,-0.0326879492257703,-0.297126119846384,0.463125368190513,0.0140727617191998,0.0444289305497501,-0.00244512942194134,-0.243135517047497,-0.145249886766455,-0.13048138611569,0.0487112760015942,-0.126959274866384,0.0279789682924395,0.0572693431184991,0.040681987163886,-0.264531378760332
"ARENofAprime",-0.207599131218676,-0.023632428120269,-0.111255071212152,-0.183811766063038,0.016569545956972,-0.0414329901714973,0.138962152631587,-0.0472504546704295,-0.057265614916024,0.00492665667413451,0.0242569864456388,0.0190104188564236,-0.0623132325956627,-0.0966731853431708,-0.0603593833369941,0.00455425385325118,-0.0649777682807977,-0.102826613349178,0.0923471374556934,-0.0601187281689424,0.0138427144464976,0.0163542200451774,0.0713770793552057,0.181022440335268,0.0828746481024445,0.267575517235614,-0.0438211983221507,-0.08075172502363,-0.188647469255994,0.149495570255085,0.0165544574594264,0.0748489276210792,0.0103552985284439,0.0195268194533887,-0.244328223300728,-0.142814578407782,-0.184460654081096,0.0921667204151239,0.165968456095002,0.0322357466187946,0.00015144225166415,-0.0135988028493108,-0.00838251293946472,0.0166222226775854,0.0326834421969213,0.297085151965948,-0.463061512260511,-0.014070821360608,-0.0444228046692132,0.00244479228641877,0.243101993415185,0.145229859648013,0.130463395284631,-0.0487045596693781,0.126941769665577,-0.0279751105399526,-0.0572614467962151,-0.0406763779135556,0.264494905057172
"r_XIIofA",0.209288250791462,0.130010999982027,0.139792871255665,-0.0623656725952488,0.053150170747904,-0.0641812885772702,0.0443396058083325,0.0156884008665396,0.0382383253598977,0.0737543968114767,-0.0148727278335242,0.00596704616385582,0.0419139801539591,-0.0190200805705855,0.049406132487947,0.00161970605016766,-0.0422401229432301,0.066059067970772,-0.0072321029243097,-0.236581669936816,-0.0573605523275649,0.111376002836864,-0.0351159424975376,0.007073262971406,-0.0703120949228657,0.0782973664652819,-0.042852939146194,-0.0810221757529622,0.151666397978417,-0.0160108577017234,0.0606206897146964,-0.0292374968632096,-0.0115528544936858,-0.118969663636885,-0.224384293489705,-0.216309210129925,0.00960162377080179,-0.0252141792289917,-0.087928206337674,-0.0457109096953749,-0.190141773646457,0.381603764770511,0.220744124265212,0.0459751309725138,0.0339162383176341,-0.0801051727352255,-0.102784657635572,-0.0146015627030932,-0.040034982481433,0.00116460846751708,0.152890949445805,0.0332765804623389,-0.0442308165983024,-0.170949266035206,-0.0194677938883702,-0.37000364271834,0.140548212925054,0.341169014072305,-0.254830718756123
"r_XIIofAprime",0.209703369031786,0.130037393838476,0.137474196434662,-0.0631277769076438,0.0539208118345263,-0.0649848409671379,0.0441897926431667,0.0186320968733283,0.0380395808347954,0.0757595741377219,-0.0103321256903442,0.00438556243288184,0.0432950008928219,-0.0172031814695484,0.0504039509443422,-0.00193667234952062,-0.0421959919883917,0.062852521887502,-0.0132697727559003,-0.237745215286661,-0.0524613070057097,0.117815101614688,-0.0349729199189232,0.00774096145832609,-0.0746136471172505,0.0762780998059463,-0.0371180997391578,-0.0770020621361966,0.137805805316868,-0.0297311975103099,0.0437843493071164,-0.0194659938132434,-0.0296861783791084,-0.103825645500576,-0.218361040838872,0.183070365242043,-0.167416769047465,0.0109672141542457,-0.0825327553995587,-0.0592594267182805,-0.107277334844841,0.437792673716064,-0.155848099823472,0.0409262788393,-0.0338800909930216,0.0800197980643957,0.102675111572411,0.0145860006168157,0.0399923139079283,-0.00116336724848916,-0.152728000986475,-0.0332411148737095,0.0441836761792928,0.170767071342681,0.0194470454592964,0.369609299405367,-0.14039841913516,-0.340805402194583,0.254559124700606
"r_VIofBprime",0.0796636155606115,0.131943649579566,-0.150554101459159,-0.0444664512417005,0.145540750368499,0.0360467407130796,-0.0085349963706445,0.177875010425821,0.173698297384131,-0.017865251845217,-0.142092054917007,0.428266382029641,0.0125707800560518,-0.0822000731173763,0.0610001517456428,-0.465256379476798,0.161163689103619,0.0385314410720739,-0.0465729900918184,0.0731136553845928,-0.196036102110704,0.160564465750323,0.160263804828051,0.0362048364709335,0.0448668341071699,-0.00609850800136462,-0.11121400470462,0.344485236177543,0.071265155701044,0.136496559731523,0.0890550535998917,-0.173483450555481,-0.118078886764865,-0.0634657439923417,-0.183749212855064,-0.00180625944290085,-0.0383957679189782,-0.00989409899889651,-0.0604303535860581,-0.0953551533633594,0.122600438571558,-0.184174245662664,0.00679906884477442,-0.0125708379034762,-1.16226472890446e-16,2.53269627492614e-16,6.59194920871187e-16,1.70002900645727e-16,-4.61436444609831e-16,-5.36680075380325e-18,2.08166817117217e-17,-1.38777878078145e-17,-1.71737624121704e-16,-9.0205620750794e-17,1.35742111995185e-16,-2.4980018054066e-16,-2.25514051876985e-16,1.52655665885959e-16,9.71445146547012e-17
"r_VIofB",0.140278001743899,0.00984331956738655,-0.0140774738723598,-0.119168050460197,0.095508611191372,0.299151422065099,0.146105439725959,0.0717577637694035,0.122395494562183,-0.0830418062587986,0.25945405986029,0.0347897904897885,0.0880689840408558,-0.174125475478062,-0.0689919548456516,0.0163100453934813,0.0830197774710674,-0.0808011795862541,-0.0205280645544423,0.0260378774700482,-0.169753986764802,-0.0957205607100118,-0.328328662460175,-0.106073334476644,-0.104036308724138,0.028777631232611,0.134898220852451,-0.508993189564066,0.0348622062576187,-0.0117642807649259,-0.0123334264425497,-0.0511410989945327,-0.160225022413717,-0.159850156951908,-0.143034236612464,-0.00456606920339292,-0.031252564022014,-0.145260041724887,-0.0671626748295941,-0.186291521686339,0.126036484822998,-0.303824512453467,-0.0215746123724108,-0.0309832217052761,-4.52762827229947e-16,-9.71445146547012e-17,3.59087759527199e-16,1.17961196366423e-16,-4.72603726986431e-16,-7.85368948694187e-17,6.54858112181245e-17,-2.4269865631088e-16,-7.51352105532455e-17,-8.99887803162969e-17,-4.84963631752766e-16,-8.8037216405823e-17,1.27502175484295e-16,3.25260651745651e-16,1.81061762805079e-16
"rofX",0.0503400562998477,0.279096742455629,-0.141738272492635,0.0284367238775712,-0.105238880396096,0.0142084254954648,0.0366456988537205,-0.0790840489895608,0.0298379257351444,0.0280640944654463,0.0211353082598972,0.00126611490897728,0.0304635534618819,-0.070281954369452,0.0312333630134341,-0.0294830897663092,-0.0110802824381369,-0.0537911828645633,0.0813160460982483,0.00739523664873801,-0.0585951286359138,0.0931008379689209,-0.0442543070019912,-0.0563304069915802,-0.112279994807539,0.140999951856449,0.00662753481371836,-0.000550476820378469,0.142068479138155,-0.0923464719003504,-0.0262886423139483,0.11372230242259,0.260605483600627,0.193407368008944,-0.000910782021250988,0.00855573068944896,0.0210724075064657,0.0371401053147353,0.00120020169724941,0.0718405550576094,0.0175579862284364,-0.0513732183278472,-1.48481240466736e-05,-0.383995651240737,-0.0295642932013288,0.10972083138635,0.0703644767835944,0.018010596413768,0.154792433010788,0.473621163457386,0.323614115870883,0.0258156140232975,-0.119764947904745,-0.0742310088961746,-0.173131106505263,0.258003818552782,0.0619200028501615,0.0277380544015568,-0.111975571093878
"rofXprime",0.0491710249036432,0.279746760562981,-0.141427800206785,0.0282406831011964,-0.104596018109019,0.0117200959943399,0.0334182230409303,-0.0768886982731803,0.0296341404743549,0.0278185101768847,0.015418376823447,0.00359503176807147,0.0322911122992758,-0.0715099751019667,0.0314100735953536,-0.0267756960871317,-0.0136750800738933,-0.0495349385060662,0.0775545637202457,0.0054107769720609,-0.071064832201098,0.0863195597911047,-0.0490480769357183,-0.0721893879726017,-0.122332529532526,0.147969685865468,0.0124205919983328,0.0196455126884779,0.152903199331172,-0.0514256952957897,-0.0364173048597843,0.212242614109118,0.187753091452126,0.18173161116902,0.014831962205151,0.00626680645537147,0.0227635698548759,0.0351229219508471,-0.00620508025041229,0.0738195839148131,0.00502738714124277,-0.050762062978135,-0.00185432691289353,-0.383187991842503,-0.073406428340576,0.00570308060862448,-0.0292915361688426,0.0299061686340351,-0.0908221822945119,-0.459548341278968,-0.356683943602198,0.00839782396733238,0.115262096551051,0.0400177251936744,0.127267370865356,-0.323500564572758,-0.0668630101187932,-0.0574903465627328,0.0970932227316821
"IonizationPotentialofX",0.135827045844585,-0.232587278146837,-0.0109391673443712,-0.0945515866530496,0.13269084707456,-0.0990519857843416,-0.00392998048362934,-0.0205302055948492,0.0253041045313144,-0.00390351076178422,-0.0431903510693934,0.0605224086445848,0.0853100166497444,-0.173811513214119,0.0449464815936767,-0.0650695586704036,-0.0802538933854673,0.0552345775598528,0.00322590792318644,0.028815875144108,-0.0619458862753005,0.00145482751940307,-0.0457204836302989,-0.0971606465514715,-0.123084256746369,0.137374760049794,0.0340428901839243,0.0652383589677999,0.148442993831599,0.0776359890176071,-0.0652119869231355,0.481903006242268,-0.048684193203878,0.128843207205258,0.0732083729939092,0.00977275809309915,0.0506719861219837,0.0213563397103241,-0.040738366118473,0.0806103606325602,-0.060781654072368,-0.0730244496225486,-0.0254042165300601,0.184969468178715,0.158997211328612,-0.400404878407985,-0.0837302792788456,-0.0996061431020517,-0.358239809633406,0.0799116814678422,0.1014271368137,0.196918822496604,-0.0676798661582082,-0.0494785494131801,-0.0554716943802672,0.0648151006313216,-0.0513342538140961,-0.163615928813216,0.0374259124935397
